,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
CRYBG2,5.24791836304359e-10,-0.467543892645996,0.367,0.394,1.92121043352663e-05,CRYBG2,down
CSGALNACT1,6.02769196687974e-10,-0.305025681518912,0.158,0.218,2.206677752155e-05,CSGALNACT1,down
ADGRL2,6.49926599121843e-10,-0.385027141049775,0.268,0.323,2.37931628672516e-05,ADGRL2,down
NTS,7.17942291059592e-10,0.628745510225148,0.227,0.154,2.62831493334006e-05,NTS,up
RORA,7.33918474050892e-10,-0.490576452735211,0.636,0.635,2.68680214165291e-05,RORA,down
MAP3K13,7.53094209646137e-10,-0.763618864557847,0.85,0.77,2.75700259209354e-05,MAP3K13,down
CLCA4,9.23398601566537e-10,-0.574377838863551,0.192,0.256,3.38046994047493e-05,CLCA4,down
PGF,1.13592342015044e-09,-0.284447495137454,0.127,0.186,4.15850204882874e-05,PGF,down
CFLAR,1.27226668566271e-09,-0.382943891940098,0.658,0.61,4.6576411095426e-05,CFLAR,down
TRIP10,1.31998012656438e-09,-0.53719977872037,0.517,0.499,4.83231524533954e-05,TRIP10,down
CLDN7,1.66334801742222e-09,-0.530065559875051,0.752,0.68,6.08935075698099e-05,CLDN7,down
ERBIN,1.67912163555587e-09,-0.401875685916707,0.778,0.705,6.14709639560648e-05,ERBIN,down
TSPAN1,1.89309437922913e-09,-0.674153155625419,0.407,0.419,6.93042921291991e-05,TSPAN1,down
KIF13B,2.11565745466412e-09,-0.428162073622757,0.459,0.468,7.74521037577988e-05,KIF13B,down
NDRG2,2.17402385155916e-09,-0.658381141412914,0.317,0.346,7.95888391817293e-05,NDRG2,down
IDO1,2.23966688074343e-09,-0.922032237453553,0.333,0.377,8.19919648371361e-05,IDO1,down
ZFAND5,2.61726425494721e-09,-0.373035966340719,0.839,0.745,9.58154271093625e-05,ZFAND5,down
NT5C2,3.64934330357828e-09,-0.478426163832905,0.621,0.573,0.000133598809000697,NT5C2,down
PLD1,4.13771220062714e-09,-0.457203529798523,0.641,0.592,0.000151477505952759,PLD1,down
GRHL1,6.75998347567822e-09,-0.439669023524277,0.427,0.443,0.000247476235061104,GRHL1,down
KLHL24,7.14229993395796e-09,-0.411140923410038,0.588,0.548,0.000261472458282267,KLHL24,down
NECTIN2,8.34361259377956e-09,-0.427540421362633,0.671,0.614,0.000305451313445676,NECTIN2,down
AFF4,8.72891683027406e-09,-0.344931275707266,0.804,0.723,0.000319556916239503,AFF4,down
MACF1,1.23133986594622e-08,-0.391133241826157,0.861,0.782,0.000450781211524251,MACF1,down
JMY,1.51887705251652e-08,-0.342577393360718,0.468,0.478,0.000556045700155774,JMY,down
ELL2,1.96233144822051e-08,-0.31210527895981,0.855,0.778,0.000718389919879046,ELL2,down
S100A7,2.75738141883109e-08,-1.64174963716665,0.073,0.12,0.00100944976361987,S100A7,down
