,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
NRM,1.07579557164286e-29,0.288305572013534,0.404,0.111,3.93838000822736e-25,NRM,up
DUOXA1,1.09669288147997e-29,0.45392600969158,0.583,0.259,4.01488296981003e-25,DUOXA1,up
S100A6,1.28197576693499e-29,-1.13717550759983,0.97,0.983,4.69318508517232e-25,S100A6,down
PTPN13,1.43876434118511e-29,0.824321825159331,0.851,0.581,5.26717237664455e-25,PTPN13,up
CENPM,1.52263517078206e-29,0.369244925224708,0.489,0.159,5.57421509671603e-25,CENPM,up
S1PR5,1.58431896579176e-29,0.258213651720225,0.443,0.124,5.80003330186706e-25,S1PR5,up
PDE3A,1.62381625997089e-29,-1.09038556810278,0.421,0.728,5.94462894612744e-25,PDE3A,down
OGFRL1,1.92952439827065e-29,0.407430795700251,0.57,0.221,7.063795869629e-25,OGFRL1,up
PKDCC,2.07485941150473e-29,-0.848020185453895,0.03,0.428,7.59585281957766e-25,PKDCC,down
SLC1A5,2.35080074662174e-29,0.663388339083793,0.834,0.624,8.60604645330751e-25,SLC1A5,up
KRT19,2.37157897769392e-29,0.998576962633646,0.983,0.919,8.68211347943966e-25,KRT19,up
TCN1,2.45152957967395e-29,-1.8541783851285,0.111,0.496,8.97480463822836e-25,TCN1,down
CCND1,2.60582387432896e-29,-0.87673374720821,0.213,0.599,9.53966062153088e-25,CCND1,down
LIN9,2.90355694449098e-29,0.25666807952357,0.357,0.082,1.0629631618087e-24,LIN9,up
ERBB4,3.50940415205501e-29,-1.18015321491963,0.106,0.507,1.28475776602582e-24,ERBB4,down
MGME1,3.80155405505063e-29,0.376436416323762,0.579,0.241,1.39171092401348e-24,MGME1,up
S100A8,4.1467291451356e-29,1.42900504626044,0.732,0.337,1.51807607274269e-24,S100A8,up
POLE3,4.79399384644012e-29,0.526761510835483,0.809,0.507,1.75503320724326e-24,POLE3,up
KCNQ5,5.85586652631726e-29,0.480504003991719,0.298,0.055,2.14377417661948e-24,KCNQ5,up
H3F3A,5.92342833043543e-29,0.609447204612615,0.991,0.983,2.1685078774891e-24,H3F3A,up
ITPR2,6.0352371395251e-29,-0.731572041734013,0.383,0.7,2.20943996440874e-24,ITPR2,down
