,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,group
FOSB,2.10286798517503e-15,0.467303697868537,0.953,0.847,7.69838940692726e-11,FOSB,up
UBE2S,2.1249617796975e-15,0.632279831639915,0.894,0.739,7.77927257929458e-11,UBE2S,up
RAI2,2.12537489012215e-15,-0.372030367711062,0.047,0.293,7.7807849352482e-11,RAI2,down
QPRT,2.12960081761781e-15,-0.508142841332085,0.038,0.279,7.79625563321705e-11,QPRT,down
WDR1,2.25466881396435e-15,0.341234595602532,0.864,0.715,8.2541170610421e-11,WDR1,up
GRINA,2.31833490175712e-15,-0.435294737169757,0.362,0.582,8.48719224184266e-11,GRINA,down
ZNF608,2.33603917411538e-15,-0.351899877476678,0.115,0.376,8.55200581251901e-11,ZNF608,down
IER2,2.35381590641758e-15,0.493902891063839,0.962,0.894,8.61708465180413e-11,IER2,up
NOLC1,2.38076058818143e-15,0.409871323343068,0.783,0.604,8.7157264372734e-11,NOLC1,up
MAP3K8,2.38621986188754e-15,0.46854380833113,0.762,0.547,8.73571229238408e-11,MAP3K8,up
FBXO34,2.39187628889991e-15,0.323741721259972,0.8,0.559,8.75641990603368e-11,FBXO34,up
CDCP1,2.40666483574552e-15,0.28682950860182,0.847,0.615,8.81055929718078e-11,CDCP1,up
PAX8-AS1,2.44498944353064e-15,-0.483693927921091,0.217,0.453,8.95086185382132e-11,PAX8-AS1,down
RPS27L,2.47630914152009e-15,-0.587957434811499,0.757,0.803,9.0655201361909e-11,RPS27L,down
COL6A1,2.52261534527957e-15,-0.311279255963257,0.03,0.268,9.23504251753399e-11,COL6A1,down
SORL1,2.60021656415634e-15,-1.17189765349506,0.374,0.565,9.51913281971996e-11,SORL1,down
L3MBTL4,2.60167991883763e-15,-0.389469991868958,0.136,0.396,9.52449001487269e-11,L3MBTL4,down
KIF26B,2.65010845299543e-15,-0.515857112942268,0.047,0.289,9.70178203557096e-11,KIF26B,down
CAMK1D,2.66886260514133e-15,0.32729570499239,0.779,0.526,9.7704391111619e-11,CAMK1D,up
SLC40A1,2.7624768379041e-15,-0.611472482479658,0.298,0.559,1.01131514558831e-10,SLC40A1,down
OSTF1,2.7890333966478e-15,0.347725783703652,0.809,0.543,1.02103723617879e-10,OSTF1,up
SCGB1D2,2.84453464221308e-15,-2.73179117613412,0.004,0.231,1.04135568716779e-10,SCGB1D2,down
MBD2,3.04511057868066e-15,0.366260939944593,0.919,0.752,1.1147845317492e-10,MBD2,up
ID4,3.09602853946527e-15,-0.856326726288993,0.426,0.636,1.13342508801284e-10,ID4,down
DIAPH3,3.19224667571724e-15,0.317322941727446,0.502,0.218,1.16864958551333e-10,DIAPH3,up
HLTF,3.22997460232839e-15,0.331257929250952,0.634,0.401,1.1824614021664e-10,HLTF,up
KLF3,3.33165813095548e-15,0.538262520766825,0.898,0.761,1.21968672516149e-10,KLF3,up
DCN,3.33663779119896e-15,-0.952657322037006,0.021,0.252,1.22150972898003e-10,DCN,down
MYC,3.35925735987817e-15,0.855943271610287,0.728,0.505,1.2297905268778e-10,MYC,up
SOX7,3.52005012028927e-15,0.308258618786535,0.626,0.347,1.2886551485367e-10,SOX7,up
MYO19,3.79106262453216e-15,0.293431554875318,0.689,0.427,1.38787011621498e-10,MYO19,up
SAP30BP,3.85246957715211e-15,0.250089790276299,0.791,0.539,1.41035058749962e-10,SAP30BP,up
PKIG,3.95446147796163e-15,-0.289054622868633,0.077,0.325,1.44768880246697e-10,PKIG,down
RNF168,3.98309253691602e-15,0.322395178710392,0.74,0.509,1.45817034683958e-10,RNF168,up
TUBA1C,4.13364114477929e-15,0.729408380455546,0.885,0.769,1.51328468669225e-10,TUBA1C,up
SMYD3,4.29214720478097e-15,-0.492959859192168,0.349,0.615,1.57131217019826e-10,SMYD3,down
LMNB1,4.31082672289762e-15,0.292653653384794,0.643,0.333,1.57815055498559e-10,LMNB1,up
JUNB,4.32048419403323e-15,0.526132519376672,0.979,0.942,1.58168605859362e-10,JUNB,up
UPF3B,4.87285439299288e-15,0.266321389200518,0.681,0.438,1.78390326473076e-10,UPF3B,up
DTX2,4.89784971724601e-15,0.308259597101966,0.749,0.501,1.79305380298659e-10,DTX2,up
SREBF1,5.02069041298879e-15,0.31263021173819,0.694,0.445,1.83802455329107e-10,SREBF1,up
DPP7,5.14443179144916e-15,-0.418707296312956,0.489,0.651,1.88332503453162e-10,DPP7,down
ID1,5.28528587796393e-15,1.00215925662833,0.881,0.755,1.93489030706381e-10,ID1,up
MAP2K6,5.42240823722698e-15,-0.488209277120238,0.149,0.399,1.98508943156643e-10,MAP2K6,down
RHOXF1-AS1,5.46012045472343e-15,0.303629848957293,0.153,0.026,1.9988954972697e-10,RHOXF1-AS1,up
PDIA3,5.49075422698713e-15,-0.568512107641247,0.919,0.931,2.01011021495772e-10,PDIA3,down
FNBP4,5.49416719560476e-15,0.352277682288209,0.864,0.688,2.01135966863895e-10,FNBP4,up
EIF1,5.66186066376542e-15,0.346275539915283,1,0.972,2.07275057039788e-10,EIF1,up
TMEM263,6.07951603697963e-15,-0.403048745739736,0.285,0.514,2.22565002597787e-10,TMEM263,down
DNAJB1,6.16715054955581e-15,0.467077726433613,0.996,0.894,2.25773214468689e-10,DNAJB1,up
ARL6IP5,6.4145384731227e-15,-0.452944421978753,0.711,0.785,2.34829838962549e-10,ARL6IP5,down
PLCB1,6.49010817665662e-15,-0.844760160211055,0.162,0.401,2.37596370239222e-10,PLCB1,down
MYADM,7.13094970127641e-15,-0.573866942987525,0.294,0.548,2.61056937614028e-10,MYADM,down
PTBP3,7.21057362351322e-15,0.361158574045552,0.906,0.721,2.63971889783195e-10,PTBP3,up
IRF6,7.97784800056835e-15,0.401201632464999,0.826,0.642,2.92061037452807e-10,IRF6,up
SLC9A3R1,8.44517423011375e-15,0.391714983167678,0.894,0.722,3.09169383390234e-10,SLC9A3R1,up
